				Type		Date		Num		Memo		Account		Clr		Split		Amount
				Invoice		11/15/2018		2021				106 · Accounts Receivable				-SPLIT-		116.76
				Payment		11/26/2018				2021		110 · Deposit in Transit		Ö		106 · Accounts Receivable		116.76
	C
				Invoice		11/14/2018		1981				106 · Accounts Receivable				-SPLIT-		262.50
				Invoice		11/15/2018		2022				106 · Accounts Receivable				-SPLIT-		1,009.59
				Payment		11/19/2018		6171		1908, 1981		110 · Deposit in Transit		Ö		106 · Accounts Receivable		575.00
				Invoice		11/30/2018		2096				106 · Accounts Receivable				-SPLIT-		2,902.50
				Invoice		11/30/2018		2146		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
	C
				Payment		11/01/2018		15724		1923		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,691.60
				Invoice		11/16/2018		1992				106 · Accounts Receivable				-SPLIT-		134.19
				Payment		11/26/2018		15746		1992		110 · Deposit in Transit		Ö		106 · Accounts Receivable		134.19
				Invoice		11/30/2018		2097				106 · Accounts Receivable				-SPLIT-		350.00
				Invoice		11/30/2018		2147				106 · Accounts Receivable				-SPLIT-		1,225.00
	C
				Payment		11/02/2018		31059		1830		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,833.44
				Invoice		11/15/2018		2023				106 · Accounts Receivable				-SPLIT-		6,899.68
				Invoice		11/19/2018		2075				106 · Accounts Receivable				-SPLIT-		3,846.94
				Payment		11/23/2018		31450		1830,1886		110 · Deposit in Transit		Ö		106 · Accounts Receivable		10,329.45
	D
				Invoice		11/01/2018		1925				106 · Accounts Receivable				-SPLIT-		1,875.53
				Payment		11/02/2018		1514		1925		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,875.53
	E
				Invoice		11/30/2018		1993				106 · Accounts Receivable				-SPLIT-		175.00
	E
				Invoice		11/15/2018		2025				106 · Accounts Receivable				-SPLIT-		1,350.00
				Payment		11/30/2018		6594		1832		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,350.00
				Invoice		11/30/2018		2159		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
	E
				Payment		11/13/2018		1425		1833		110 · Deposit in Transit		Ö		106 · Accounts Receivable		85.07
				Invoice		11/15/2018		2026				106 · Accounts Receivable				-SPLIT-		119.80
				Invoice		11/30/2018		2160				106 · Accounts Receivable				-SPLIT-		30.00
	E
				Invoice		11/14/2018		1982				106 · Accounts Receivable				-SPLIT-		350.00
				Invoice		11/15/2018		2027				106 · Accounts Receivable				-SPLIT-		1,905.00
				Payment		11/19/2018		43679		1910, 1930, 1941		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,512.50
				Invoice		11/30/2018		2161				106 · Accounts Receivable				-SPLIT-		87.50
	E
				Payment		11/05/2018		97271		1706,1708,1721,1735,1736,1737,1768,1769,1770,1772		110 · Deposit in Transit		Ö		106 · Accounts Receivable		12,807.50
				Invoice		11/09/2018		1978				106 · Accounts Receivable				-SPLIT-		49,391.01
				Invoice		11/14/2018		1983				106 · Accounts Receivable				-SPLIT-		2,450.00
				Invoice		11/14/2018		1984				106 · Accounts Receivable				-SPLIT-		787.50
				Invoice		11/16/2018		1994				106 · Accounts Receivable				-SPLIT-		3,675.00
				Invoice		11/16/2018		1995				106 · Accounts Receivable				-SPLIT-		1,312.50
				Invoice		11/16/2018		1996				106 · Accounts Receivable				-SPLIT-		437.50
				Invoice		11/16/2018		1997				106 · Accounts Receivable				-SPLIT-		2,100.00
				Invoice		11/19/2018		2077				106 · Accounts Receivable				-SPLIT-		500.00
				Payment		11/26/2018		100408		1758, 1901		110 · Deposit in Transit		Ö		106 · Accounts Receivable		47,676.35
				Invoice		11/30/2018		2099				106 · Accounts Receivable				-SPLIT-		3,412.50
				Invoice		11/30/2018		2100				106 · Accounts Receivable				-SPLIT-		612.50
				Invoice		11/30/2018		2101				106 · Accounts Receivable				-SPLIT-		212.50
				Invoice		11/30/2018		2102				106 · Accounts Receivable				-SPLIT-		3,675.00
				Invoice		11/30/2018		2104				106 · Accounts Receivable				-SPLIT-		6,825.00
				Invoice		11/30/2018		2149				106 · Accounts Receivable				-SPLIT-		1,487.50
				Invoice		11/30/2018		2150				106 · Accounts Receivable				-SPLIT-		2,100.00
				Invoice		11/30/2018		2151				106 · Accounts Receivable				-SPLIT-		612.50
				Invoice		11/30/2018		2152				106 · Accounts Receivable				-SPLIT-		5,687.50
				Invoice		11/30/2018		2153				106 · Accounts Receivable				-SPLIT-		4,375.00
	F
				Invoice		11/15/2018		2028				106 · Accounts Receivable				-SPLIT-		450.00
	F
				Invoice		11/29/2018		2133				106 · Accounts Receivable				-SPLIT-		1,959.00
				Payment		11/29/2018				2133		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,959.00
				Invoice		11/30/2018		2107				106 · Accounts Receivable				-SPLIT-		312.50
	G
				Payment		11/07/2018				1773, 1797, 1897		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,275.00
				Invoice		11/15/2018		2029				106 · Accounts Receivable				-SPLIT-		2,745.91
				Payment		11/15/2018				1973		110 · Deposit in Transit		Ö		106 · Accounts Receivable		32.20
				Payment		11/26/2018				2029		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,745.91
				Invoice		11/27/2018		2105		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
				Invoice		11/30/2018		2112				106 · Accounts Receivable				-SPLIT-		2,700.00
				Invoice		11/30/2018		2162				106 · Accounts Receivable				-SPLIT-		87.50
	G
				Invoice		11/15/2018		2030				106 · Accounts Receivable				-SPLIT-		3,947.70
				Payment		11/30/2018				2030		110 · Deposit in Transit		Ö		106 · Accounts Receivable		3,947.70
	G
				Invoice		11/15/2018		2031				106 · Accounts Receivable				-SPLIT-		2,579.13
				Payment		11/30/2018		339135		2031		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,579.13
	H
				Invoice		11/15/2018		2032				106 · Accounts Receivable				-SPLIT-		106.60
	H
				Payment		11/07/2018		76568		1637		110 · Deposit in Transit		Ö		106 · Accounts Receivable		650.00
				Payment		11/13/2018		76636		1839		110 · Deposit in Transit		Ö		106 · Accounts Receivable		650.00
				Invoice		11/15/2018		2033				106 · Accounts Receivable				-SPLIT-		650.00
	H
				Payment		11/13/2018		10165		1840		110 · Deposit in Transit		Ö		106 · Accounts Receivable		50.00
				Invoice		11/15/2018		2034				106 · Accounts Receivable				-SPLIT-		50.00
	H
				Invoice		11/02/2018		1976				106 · Accounts Receivable				-SPLIT-		880.00
	I
				Invoice		11/01/2018		1954				106 · Accounts Receivable				-SPLIT-		1,058.33
				Credit Memo		11/08/2018		1985				106 · Accounts Receivable				-SPLIT-		-62.50
				Payment		11/12/2018				1954		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,058.33
				Payment		11/12/2018				1723		110 · Deposit in Transit		Ö		106 · Accounts Receivable		187.50
	J
				Invoice		11/15/2018		2024				106 · Accounts Receivable				-SPLIT-		19,400.00
				Payment		11/16/2018		712		1831, 1798		110 · Deposit in Transit		Ö		106 · Accounts Receivable		17,586.50
				Invoice		11/30/2018		2167				106 · Accounts Receivable				-SPLIT-		175.00
	J
				Credit Memo		11/15/2018		2110				106 · Accounts Receivable				-SPLIT-		-37.61
	J
				Payment		11/06/2018		6078		1640		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,492.60
				Invoice		11/15/2018		2035				106 · Accounts Receivable				-SPLIT-		1,816.60
				Payment		11/23/2018		6102		1842		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,492.60
	L
				Invoice		11/15/2018		2036				106 · Accounts Receivable				-SPLIT-		4.17
				Payment		11/26/2018		2313		2036		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4.17
	L
				Invoice		11/15/2018		2037				106 · Accounts Receivable				-SPLIT-		5,818.10
				Payment		11/28/2018				2037		110 · Deposit in Transit		Ö		106 · Accounts Receivable		5,818.10
	L
				Invoice		11/15/2018		2038				106 · Accounts Receivable				-SPLIT-		37.00
				Payment		11/26/2018						110 · Deposit in Transit				106 · Accounts Receivable		37.00
	M
				Invoice		11/15/2018		2039				106 · Accounts Receivable				-SPLIT-		1,274.00
				Invoice		11/20/2018		2079				106 · Accounts Receivable				-SPLIT-		11,721.23
				Payment		11/28/2018		7804		2079		110 · Deposit in Transit		Ö		106 · Accounts Receivable		11,721.23
				Payment		11/28/2018		7805		2039		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,274.00
	M
				Invoice		11/15/2018		2040				106 · Accounts Receivable				-SPLIT-		1,290.00
				Payment		11/26/2018				2040		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,290.00
	M
				Invoice		11/15/2018		2041				106 · Accounts Receivable				-SPLIT-		700.00
				Payment		11/21/2018		ACH1759		2041		110 · Deposit in Transit		Ö		106 · Accounts Receivable		700.00
	M
				Invoice		11/15/2018		2042				106 · Accounts Receivable				-SPLIT-		1,496.00
				Payment		11/23/2018		10483		2042		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,496.00
	M
				Payment		11/05/2018		5054		1850		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,720.65
				Invoice		11/15/2018		2043				106 · Accounts Receivable				-SPLIT-		4,759.85
				Invoice		11/29/2018		2134				106 · Accounts Receivable				-SPLIT-		34.97
				Payment		11/30/2018		5165		2043		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,759.85
				Invoice		11/30/2018		2154		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
				Invoice		11/30/2018		2191				106 · Accounts Receivable				-SPLIT-		1,012.50
	M
				Invoice		11/15/2018		2085				106 · Accounts Receivable				-SPLIT-		2,209.30
				Payment		11/29/2018		ACH1764		2085		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,209.30
	M
				Invoice		11/15/2018		2069				106 · Accounts Receivable				-SPLIT-		549.21
				Payment		11/29/2018		29096		2069		110 · Deposit in Transit		Ö		106 · Accounts Receivable		549.21
	N
				Invoice		11/30/2018		2108				106 · Accounts Receivable				-SPLIT-		350.00
				Payment		11/30/2018		ACH		1898		110 · Deposit in Transit		Ö		106 · Accounts Receivable		262.50
	N
				Payment		11/01/2018		ACH1745		1785, 1822		110 · Deposit in Transit		Ö		106 · Accounts Receivable		400.00
				Invoice		11/15/2018		2018				106 · Accounts Receivable				-SPLIT-		200.00
	N
				Credit Memo		11/14/2018		2078				106 · Accounts Receivable				-SPLIT-		-143.67
				Invoice		11/15/2018		2045				106 · Accounts Receivable				-SPLIT-		3,660.39
				Payment		11/26/2018				2045		110 · Deposit in Transit		Ö		106 · Accounts Receivable		3,660.39
	N
				Invoice		11/15/2018		2068				106 · Accounts Receivable				-SPLIT-		3,040.67
	O
				Invoice		11/15/2018		2047				106 · Accounts Receivable				-SPLIT-		4,808.00
				Payment		11/26/2018		per cc auth		2047		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,808.00
	O
				Invoice		11/15/2018		2048				106 · Accounts Receivable				-SPLIT-		7,125.76
				Invoice		11/19/2018		2071				106 · Accounts Receivable				-SPLIT-		165.02
				Payment		11/26/2018		100407		1855		110 · Deposit in Transit		Ö		106 · Accounts Receivable		7,189.95
	O
				Payment		11/05/2018				1856,1887,1799,1800		110 · Deposit in Transit		Ö		106 · Accounts Receivable		30,071.48
				Payment		11/13/2018		134984		1915		110 · Deposit in Transit		Ö		106 · Accounts Receivable		437.50
				Invoice		11/15/2018		2049				106 · Accounts Receivable				-SPLIT-		24,807.03
